"","y","v"
"101",-2.64940980452739,1.53
"102",2.97753170390233,3.14
"103",3.09446876378595,2.08
"104",-2.21831347928479,1.02
"105",1.63886416762268,1.46
"106",2.28987197861656,3.29
"107",2.71922297460716,1.49
"108",-3.09272343453395,2.52
"109",-2.78554548618295,7.05
"110",-2.9251718263425,7.34
"111",-3.09097810528196,6.95
"112",2.59181393921158,4.06
"113",2.3701571242083,3.94
"114",2.20784150377283,5.3
"115",2.66686309704734,1.09
"116",1.73136661797837,1.95
"117",2.68606171881927,2.92
"118",1.96524073774562,2.33
"119",2.13802833369305,2.76
"120",2.84314135149876,6.11
"121",-3.02640092295817,7.47
"122",-2.90248254606657,4.68
"123",2.53072741539178,3.37
"124",2.06996049286527,5.17
"125",-2.84314135149876,5.06
"126",2.2462387473167,3.19
"127",-2.96356906988637,8.55
"128",-2.84139602224677,6.85
"129",-2.60752190247953,3.06
"130",-2.87630260728666,5.62
"131",-2.71398698685118,5.1
"132",-2.92691715559449,5.24
"133",-2.73493093787511,4.26
"134",-2.88851991205062,9.17
"135",-2.80648943720688,9.92
"136",-2.80299877870289,9.9
"137",-2.88153859504264,9.04
"138",-3.07527014201401,4.33
"139",2.15024563845701,2.96
"140",1.77849050778222,2.1
"141",2.55690735417169,2.54
"142",-1.69471470368649,0.99
"143",2.59530459771557,1.55
"144",0.493753645389196,0.05
"145",-0.593411945678072,0.62
"146",-1.18333323285216,1.68
"147",1.71391332545843,1.63
"148",-2.50978346436785,1.77
"149",2.49582083035189,6.05
"150",-2.99847565492626,8.68
"151",-3.03338223996615,10.32
"152",-3.0473448739821,9.88
"153",-3.07352481276201,10.81
"154",-2.95833308213039,10.19
"155",-2.38586508747625,4.78
"156",-2.51851011062782,4.06
"157",-2.79601746169492,8.89
"158",-2.87281194878267,7.53
"159",-3.11541271480988,7.25
"160",-2.89026524130261,7.49
"161",-2.99498499642227,5.46
"162",2.86757596102668,3.36
"163",-2.51327412287183,1.56
"164",3.12064870256586,2.3
"165",-2.53247274464377,1.74
"166",3.13112067807783,1.69
"167",-2.80998009571087,5.44
"168",-3.10145008079392,1.5
"169",2.74191225488309,6.23
"170",2.84139602224677,5.54
"171",0.308399678827398,0.31
"172",0.426034870411816,0.44
"173",-1.46433124242324,0.02
"174",-1.34739418253962,0.54
"175",1.53414441250302,0.07
"176",-0.598647933434055,0.69
"177",-0.525344104850294,1
"178",-0.589921287174084,2.71
"179",-0.680678408277789,3.45
"180",-0.439822971502572,3.09
"181",-0.582939970166105,3.22
"182",0.540528469342644,3.15
"183",-0.396189740202711,4.75
"184",0.64036130255672,2.29
"185",-0.595157274930067,3.8
"186",-0.548033385126219,3.77
"187",-0.499164166070379,3.2
"188",-0.169296937443448,4.72
"189",-2.44346095279206,2.67
"190",-2.43997029428807,1.56
"191",0.847182818918048,3.51
"192",-1.43116998663535,1.66
"193",-0.623082542961974,3.91
"194",-0.989601685880785,3.98
"195",-0.39095375244673,4.6
"196",-1.19729586686811,0.69
"197",-0.349065850398866,5.21
"198",-1.60221225333079,1.26
"199",-2.80648943720688,4.15
"200",1.95302343298165,2.22
"201",3.00545697193423,4.23
"202",2.54119939090374,6.11
"203",2.90597320457056,11.24
"204",3.10319541004592,13.27
"205",-2.9251718263425,13.09
"206",-2.80474410795489,12.25
"207",-2.82743338823081,8.28
"208",-3.03861822772213,9.45
"209",-2.78205482767896,9.47
"210",-2.96705972839036,8.74
"211",-2.90248254606657,7.67
"212",-2.83790536374278,9.45
"213",-2.78380015693096,8.18
"214",-2.68082573106329,8.15
"215",-2.56563400043166,7.77
"216",-2.36841179495631,5.17
"217",-2.58134196369961,3.03
"218",-2.70526034059121,5.03
"219",-2.66511776779534,2.9
"220",-2.97055038689435,3.19
"221",-2.71922297460716,5.4
"222",-2.83441470523879,3.71
"223",-2.69304303582725,4.63
"224",-2.32303323440445,2.23
"225",-2.78030949842697,3.96
"226",3.12239403181786,3.7
"227",-2.9862583501623,5.4
"228",-3.08748744677797,3.68
"229",-2.72096830385916,1.26
"230",2.18340689424491,4.17
"231",2.74191225488309,5.58
"232",1.88146493364989,2.73
"233",0.937416341246155,2.47
"234",0.287281194878267,2.95
"235",-1.11002940426839,1.03
"236",-0.89535390627309,1.96
"237",-0.46774823953448,3.26
"238",-0.586430628670096,3.38
"239",-0.518362787842316,1.13
"240",-0.385717764690748,0.44
"241",-1.56206968053492,1.32
"242",-1.0768681484805,1.32
"243",-1.67202542341057,1.29
"244",-1.68249739892253,1.21
"245",-2.13104701668508,0.35
"246",-2.44869694054804,0.46
"247",2.58134196369961,1.13
"248",-1.60570291183478,1.18
"249",1.41895268187139,1
"250",0.355698101556444,0.8
"251",1.33535141070086,2.54
"252",-2.1240656996771,1.75
"253",1.67551608191456,1.8
"254",1.01962134901509,0.85
"255",-0.747000919853573,0.73
"256",0.478394747971646,1.18
"257",-3.09097810528196,0.25
"258",2.81347075421486,0.63
"259",-1.11002940426839,0.36
"260",-2.08217779762924,1.07
"261",-0.600393262686048,1.63
"262",-3.12064870256586,0.52
"263",-1.50272848596712,0.88
"264",2.06646983436129,1.74
"265",-0.328121899374935,1.01
"266",-2.81172542496286,0.19
"267",-1.79419847105017,0.17
"268",-2.38935574598024,1.46
"269",-1.84306769010601,0.65
"270",-2.71049632834719,2.4
"271",-2.36317580720032,2.35
"272",-2.79252680319093,2.46
"273",2.57086998818765,1.96
"274",-1.14319066005629,0.84
"275",2.05948851735331,1.99
"276",1.1397000015523,1.49
"277",1.93382481120972,1.54
"278",1.22836272755361,1.66
"279",3.077015471266,2.4
"280",-2.06996049286527,1.44
"281",-0.767944870877505,2.07
"282",-0.752236907609557,0.78
"283",-1.11002940426839,0.001
"284",2.63021118275545,0.8
"285",2.3998277214922,1.65
"286",1.39416900649307,0.7
"287",-2.769837522915,1.57
"288",0.268257106031529,2.84
"289",-0.60388392119004,0.8
"290",-0.63704517697793,0.08
"291",-2.76285620590702,1.35
"292",1.66853476490658,0.9
"293",-0.776671517137476,0.36
"294",-2.51676478137582,0.33
"295",-1.37357412131954,0.24
"296",-2.03679923707738,0.44
"297",-1.68075206967054,1.01
"298",-0.755727566113546,0.18
"299",0.612086968674411,0.52
"300",-2.9565877528784,2.18
"301",1.19310707666332,2.57
"302",2.33350520991642,2.35
"303",2.46615023306799,4.19
"304",2.65988178003936,3.98
"305",2.68257106031528,2.59
"306",-2.57785130519562,1.83
"307",-2.76460153515902,1.95
"308",-2.00363798128949,1.35
"309",2.30383461263252,0.86
"310",-1.82561439758607,0.71
"311",-2.65813645078736,2.39
"312",-2.82045207122284,1.62
"313",-1.00356431989674,0.74
"314",-2.81870674197084,1.88
"315",3.02640092295817,2.13
"316",2.10661240715716,0.66
"317",2.71224165759919,0.13
"318",2.9234264970905,1.35
"319",0.202807259081741,0.39
"320",-1.20951317163207,0.3
"321",-2.90771853382255,1.18
"322",-0.860447321233204,1.13
"323",-1.27758101245985,1.09
"324",-1.11526539202438,0.75
"325",-0.673697091269812,5.8
"326",-0.635299847725936,6.25
"327",0.0464257581030494,7.48
"328",0.466177443207685,6.83
"329",-0.429350995990607,5.23
"330",-0.198967534727352,6.24
"331",-0.55676003138619,3.29
"332",-0.455530934770522,4.32
"333",-0.481710873550437,5.63
"334",-0.568977336150152,7.76
"335",-0.619591884457986,6.89
"336",-0.733038285837619,4.88
"337",-0.57246799465414,5.01
"338",-0.708603676309698,4.6
"339",-0.53581608036226,5.9
"340",-0.602138591938044,5.24
"341",-0.745255590601579,3
"342",-0.734783615089613,3.12
"343",-0.52010811709431,3.98
"344",-0.427605666738611,2.69
"345",0.464955712731289,1.4
"346",-0.150098315671514,2.54
"347",0.324282175020546,3.03
"348",-0.523598775598298,2.26
"349",-0.466002910282487,2.02
"350",0.14154620233674,3.96
"351",1.36624373846116,9.72
"352",1.28334059899143,8.08
"353",1.230457122656,6.73
"354",0.55710909723659,3.46
"355",0.220609617452083,2.86
"356",-0.363028484414821,3.44
"357",-0.232128790515247,3.23
"358",-0.46774823953448,4.33
"359",-0.441568300754565,4.07
"360",-0.5846852994181,4.42
"361",-1.10130275800842,3.05
"362",-0.551524043630209,7.3
"363",-0.731292956585623,4.08
"364",-0.481710873550437,6.64
"365",-0.45902159327451,5.35
"366",-0.546288055874225,5.77
"367",-0.57246799465414,6.5
"368",-0.495673507566389,5
